fq;S21 Bias T
0;-0,23632546
0,1;-0,1458414
0,2;-0,050042238
0,3;-0,12848139
0,5;-0,25620708
0,6;-0,20295097
0,7;-0,23696412
0,8;-0,30381528
1;-0,22893821
1,1;-0,27375481
1,2;-0,41335216
1,3;-0,33646959
1,5;-0,40927169
1,6;-0,45628333
1,7;-0,34438172
1,8;-0,44544634
2;-0,55012751
2,1;-0,45984817
2,2;-0,43081409
2,3;-0,49153909
2,5;-0,41972697
2,6;-0,36725172
2,7;-0,37570745
2,8;-0,42445636
3;-0,36690053
3,1;-0,35423148
3,2;-0,38472527
3,3;-0,37511569
3,5;-0,35950756
3,6;-0,35165894
3,7;-0,33483413
3,8;-0,3433381
4;-0,3703551
4,1;-0,43201292
4,2;-0,37215623
4,3;-0,35107034
4,5;-0,37573147
4,6;-0,32392961
4,7;-0,3330746
4,8;-0,35161912
5;-0,31674972
5,1;-0,29672924
5,2;-0,34954727
5,3;-0,35753697
5,5;-0,30018553
5,6;-0,34423596
5,7;-0,39047807
5,8;-0,32878143
6;-0,36161521
6,1;-0,34731424
6,2;-0,34769294
6,3;-0,35719043
6,5;-0,35981265
6,6;-0,33917561
6,7;-0,32720172
6,8;-0,35033068
7;-0,42956349
7,1;-0,4098289
7,2;-0,39287072
7,3;-0,32372263
7,5;-0,33529153
7,6;-0,3911688
7,7;-0,41982016
7,8;-0,40952712
8;-0,34379929
8,1;-0,3962985
8,2;-0,36338738
8,3;-0,36371934
8,5;-0,41939104
8,6;-0,42016241
8,7;-0,31848466
8,8;-0,27965659
9;-0,3904739
9,1;-0,40247199
9,2;-0,41393405
9,3;-0,39011443
9,5;-0,34511912
9,6;-0,39190137
9,7;-0,48746467
9,8;-0,42974818
10;-0,34505722
10,1;-0,47367686
10,2;-0,37947035
10,3;-0,34699222
10,5;-0,47854879
10,6;-0,42451796
10,7;-0,58060396
10,8;-0,53128213
11;-0,49720496
11,1;-0,58038914
11,2;-0,51439613
11,3;-0,61488509
11,5;-0,58391494
11,6;-0,53168452
11,7;-0,47110525
11,8;-0,51957285
12;-0,83118659
12,1;-0,87455589
12,2;-0,68520939
12,3;-0,58563733
12,5;-0,50846845
12,6;-0,64998102
12,7;-0,70858419
12,8;-0,61228645
13;-0,52006537
13,1;-0,62014037
13,2;-0,64286119
13,3;-0,77677912
13,5;-0,79970664
13,6;-0,78446537
13,7;-1,0288492
13,8;-0,85651928
14;-0,80731362
14,1;-0,80381632
14,2;-0,87607718
14,3;-0,78197032
14,5;-0,79648834
14,6;-0,92565703
14,7;-0,68784529
14,8;-0,91466707
15;-1,0874768
15,1;-0,8020364
15,2;-0,95677656
15,3;-0,76457542
15,5;-0,77388191
15,6;-0,85027409
15,7;-0,86285532
15,8;-0,90036583
16;-0,6496591
16,1;-0,8448869
16,2;-0,82138437
16,3;-1,0852157
16,5;-1,0032408
16,6;-0,84340948
16,7;-0,70466411
16,8;-0,76713353
17;-0,9373799
17,1;-0,88391614
17,2;-0,83281446
17,3;-0,67227322
17,5;-0,60768539
17,6;-0,67473012
17,7;-1,0828896
17,8;-0,86496449
18;-0,71297306
18,1;-0,89396459
18,2;-0,73152447
18,3;-0,84996235
18,5;-1,0703162
18,6;-0,77743948
18,7;-0,70162857
18,8;-0,91479677
19;-0,81342041
19,1;-0,93633318
19,2;-0,95253229
19,3;-0,97316045
19,5;-0,71761698
19,6;-0,8596068
19,7;-0,681611
19,8;-0,53171027
20;-0,98135245
20,1;-0,63379991
20,2;-0,65334433
20,3;-0,72680724
20,5;-0,73155177
20,6;-0,73761171
20,7;-1,3171535
20,8;-0,87761015
21;-0,77388597
21,1;-1,0140316
21,2;-1,055629
21,3;-0,83881861
21,5;-1,1564859
21,6;-1,0017735
21,7;-0,73332411
21,8;-1,0782458
22;-1,0222675
22,1;-0,76289874
22,2;-1,1926285
22,3;-0,65122104
22,5;-0,52309471
22,6;-0,99162978
22,7;-0,82808363
22,8;-0,7147572
23;-0,99266928
23,1;-0,65277153
23,2;-0,74354321
23,3;-1,0580667
23,5;-1,1176859
23,6;-0,94067425
23,7;-1,0790709
23,8;-1,1060792
24;-1,0271548
24,1;-1,1393415
24,2;-1,1320167
24,3;-0,96665305
24,5;-1,2186189
24,6;-1,0807291
24,7;-0,94970977
24,8;-1,1151131
25;-1,2861954
