;CB1;CB2;CB3;CB4;CB5;CB6
0;-0,098064646;-0,10307163;-0,12714596;-0,067938812;-0,11309394;-0,13739143
0,1;-0,15998481;-0,15965749;-0,17188033;-0,20335349;-0,1643272;-0,1789107
0,2;-0,20104967;-0,20230618;-0,21881925;-0,14292307;-0,20469786;-0,21783803
0,3;-0,23861596;-0,23840402;-0,25295076;-0,24577913;-0,23261593;-0,25630131
0,5;-0,27519861;-0,2662738;-0,28159162;-0,29581887;-0,2643925;-0,28487042
0,6;-0,29393169;-0,28473908;-0,30082041;-0,34484747;-0,28316683;-0,29609022
0,7;-0,30947706;-0,31559628;-0,33634725;-0,37262219;-0,30450699;-0,32735333
0,8;-0,34944332;-0,34188974;-0,34758571;-0,3824783;-0,33484989;-0,34051386
1;-0,36544108;-0,35208583;-0,36719024;-0,41677266;-0,34455273;-0,36036393
1,1;-0,38879856;-0,3816497;-0,38934812;-0,43405667;-0,37392828;-0,3844291
1,2;-0,39495832;-0,39459094;-0,3982268;-0,49385944;-0,38173088;-0,39691576
1,3;-0,4228822;-0,41006219;-0,41654304;-0,49197084;-0,39730793;-0,41782305
1,5;-0,45150015;-0,43599373;-0,43299469;-0,49887776;-0,41018036;-0,43813235
1,6;-0,46048769;-0,45757985;-0,45413008;-0,5236147;-0,43668118;-0,46188453
1,7;-0,47413665;-0,46201161;-0,47227338;-0,52652669;-0,4465926;-0,46040821
1,8;-0,48923501;-0,47082064;-0,48089826;-0,59465623;-0,4576937;-0,47151196
2;-0,50819272;-0,49533176;-0,49775672;-0,59230059;-0,46298954;-0,4836095
2,1;-0,53829283;-0,52955997;-0,52147436;-0,5921008;-0,5011102;-0,51690954
2,2;-0,54539907;-0,53116858;-0,51760423;-0,62722814;-0,49466494;-0,51793206
2,3;-0,55515897;-0,5405122;-0,53278196;-0,65267998;-0,51084596;-0,5231697
2,5;-0,58254445;-0,55605859;-0,55715024;-0,66015202;-0,52817404;-0,54578131
2,6;-0,56673068;-0,55727339;-0,55128169;-0,69298774;-0,51732135;-0,53475016
2,7;-0,60389435;-0,57921529;-0,558514;-0,70352578;-0,53957802;-0,5676477
2,8;-0,61893463;-0,60144234;-0,56839693;-0,72146624;-0,54628336;-0,57134193
3;-0,62103462;-0,5966019;-0,58567619;-0,74559402;-0,55214053;-0,58020449
3,1;-0,67977238;-0,62585884;-0,61797178;-0,78963363;-0,59151739;-0,61987984
3,2;-0,65065771;-0,62605262;-0,62163496;-0,76911426;-0,590078;-0,61831933
3,3;-0,66604841;-0,63884413;-0,61540622;-0,80104226;-0,59342253;-0,61277646
3,5;-0,67924201;-0,66681635;-0,64157331;-0,81309861;-0,6052559;-0,64021999
3,6;-0,69108087;-0,66229403;-0,6439923;-0,79128754;-0,59691173;-0,62865865
3,7;-0,70400804;-0,67394167;-0,66943532;-0,79317677;-0,62962133;-0,6643396
3,8;-0,71918476;-0,69037843;-0,65133941;-0,83060431;-0,64704782;-0,65062463
4;-0,75781184;-0,70272905;-0,66717273;-0,82177341;-0,63723052;-0,67224514
4,1;-0,74299085;-0,71963316;-0,69537991;-0,85826486;-0,66200387;-0,67558986
4,2;-0,76910371;-0,72529954;-0,70456183;-0,90302747;-0,67154676;-0,68245965
4,3;-0,76538759;-0,73236686;-0,70375758;-0,90201324;-0,67735016;-0,69128931
4,5;-0,78801632;-0,74610984;-0,73078257;-0,94446689;-0,68670869;-0,70625186
4,6;-0,79791808;-0,75686914;-0,72359931;-0,93296295;-0,69665939;-0,73507059
4,7;-0,8091234;-0,77889079;-0,73750091;-0,96496624;-0,69835806;-0,72867429
4,8;-0,83524948;-0,77269632;-0,73913908;-0,96789473;-0,71547055;-0,74448258
5;-0,8354277;-0,78217304;-0,75287038;-1,0272194;-0,71504527;-0,753214
5,1;-0,8536309;-0,79208231;-0,77547419;-1,0104634;-0,72896427;-0,75105661
5,2;-0,84531808;-0,80695623;-0,78527313;-1,0008036;-0,72800136;-0,76612091
5,3;-0,87761164;-0,79056609;-0,76613832;-1,0036656;-0,7349351;-0,74899167
5,5;-0,87949955;-0,8307761;-0,80125618;-0,99267972;-0,77270538;-0,77406406
5,6;-0,88741648;-0,83821321;-0,80153716;-1,0397874;-0,76777744;-0,7858097
5,7;-0,89379126;-0,84547222;-0,80573684;-1,0038419;-0,76686591;-0,80154771
5,8;-0,91227657;-0,85306633;-0,82111895;-1,033879;-0,79228038;-0,80774456
6;-0,89301473;-0,84579724;-0,81216663;-1,0704151;-0,78624612;-0,79981774
6,1;-0,93321323;-0,8839168;-0,85415441;-1,1324261;-0,81069851;-0,83818024
6,2;-0,95661563;-0,89827645;-0,84284025;-1,0715518;-0,79874855;-0,8389886
6,3;-0,92617655;-0,86211181;-0,84064704;-1,1312726;-0,80262005;-0,82110822
6,5;-0,97017241;-0,9085471;-0,87062323;-1,1023692;-0,8129071;-0,84300673
6,6;-0,95588303;-0,90225202;-0,87308365;-1,1029685;-0,83024842;-0,85369843
6,7;-0,99427122;-0,91638011;-0,87550151;-1,0970914;-0,83934128;-0,85482109
6,8;-0,99731237;-0,93899494;-0,89824003;-1,0892686;-0,86446524;-0,88385463
7;-0,97525454;-0,92432827;-0,87045068;-1,1280047;-0,85429972;-0,86856878
7,1;-0,98976803;-0,93553185;-0,87916911;-1,1932272;-0,85574734;-0,86620963
7,2;-1,009364;-0,95702475;-0,89089209;-1,1973841;-0,85810024;-0,89118898
7,3;-1,0097123;-0,95054483;-0,90925425;-1,1802597;-0,86979514;-0,89583558
7,5;-1,0288832;-0,98130524;-0,93098265;-1,2145265;-0,90572006;-0,90810525
7,6;-1,0496793;-0,96522993;-0,91259128;-1,2216291;-0,88171816;-0,91662478
7,7;-1,0121003;-0,97694629;-0,92115611;-1,2731847;-0,87226403;-0,88859499
7,8;-1,0941641;-1,0269332;-0,970801;-1,2462912;-0,92213529;-0,9479211
8;-1,0065229;-0,99247432;-0,91649491;-1,266184;-0,87854803;-0,90929955
8,1;-1,0470978;-1,0183512;-0,94355035;-1,2811179;-0,90598702;-0,92786878
8,2;-1,0619183;-1,0392553;-0,96331131;-1,251681;-0,93038905;-0,94211501
8,3;-1,0638969;-1,0293068;-0,95662546;-1,227778;-0,91489005;-0,9565661
8,5;-1,0903114;-1,0489713;-0,99258077;-1,2318008;-0,92857474;-0,97862816
8,6;-1,1271719;-1,0358081;-0,99354488;-1,3306662;-0,93838435;-0,97738129
8,7;-1,1407338;-1,0708977;-0,98486352;-1,2537882;-0,94061577;-0,97028816
8,8;-1,1128166;-1,0840019;-1,0222784;-1,2353543;-0,98388731;-1,0032598
9;-1,1024938;-1,0754273;-0,99443179;-1,2247192;-0,96831417;-0,97382158
9,1;-1,1284379;-1,0637465;-1,0496143;-1,3590218;-0,96993452;-0,99511087
9,2;-1,1270851;-1,0984435;-1,0159637;-1,3403256;-0,98686439;-1,0034703
9,3;-1,1242424;-1,1048564;-1,0390127;-1,3940437;-0,98814356;-1,0129877
9,5;-1,1591791;-1,1579543;-1,0718657;-1,3796153;-1,0318201;-1,0545559
9,6;-1,1246455;-1,0867542;-1,0423965;-1,3681455;-0,99726301;-1,027791
9,7;-1,1616461;-1,1549829;-1,0179392;-1,4975904;-1,0228332;-1,0482832
9,8;-1,1892323;-1,1618965;-1,0907291;-1,3804077;-1,0339228;-1,0599235
10;-1,1639056;-1,1378309;-1,0584762;-1,4315416;-1,0044589;-1,0461956
10,1;-1,1776923;-1,1132332;-1,0466263;-1,3844132;-1,0251293;-1,0441256
10,2;-1,2261986;-1,1959603;-1,0966254;-1,3741052;-1,0772666;-1,0750955
10,3;-1,2230717;-1,186358;-1,0714769;-1,3489765;-1,0313101;-1,0541462
10,5;-1,2549088;-1,1983466;-1,1422113;-1,5329854;-1,0683748;-1,0759116
10,6;-1,2155898;-1,2022885;-1,0821489;-1,4711974;-1,0566585;-1,0740265
10,7;-1,2679484;-1,1777881;-1,091092;-1,4697731;-1,0413038;-1,0767568
10,8;-1,2508118;-1,2346084;-1,1397644;-1,5211759;-1,1085709;-1,1368289
11;-1,2083162;-1,2432607;-1,1340189;-1,5397148;-1,1039299;-1,0865909
11,1;-1,2591995;-1,2495043;-1,1421161;-1,6196293;-1,1136953;-1,1231925
11,2;-1,2943476;-1,2921519;-1,183071;-1,5750401;-1,1451569;-1,1445262
11,3;-1,2712251;-1,2832172;-1,1525431;-1,5797999;-1,16364;-1,1415148
11,5;-1,3241898;-1,3123046;-1,231511;-1,5814073;-1,1500977;-1,2112908
11,6;-1,2893732;-1,3152521;-1,1668136;-1,5678118;-1,1444991;-1,1497641
11,7;-1,3479625;-1,2889104;-1,2158219;-1,5646473;-1,1537331;-1,1647469
11,8;-1,367327;-1,316754;-1,24968;-1,5572937;-1,1591698;-1,2043377
12;-1,3049225;-1,3510654;-1,1931819;-1,4631524;-1,1497691;-1,2116488
12,1;-1,3366745;-1,3481169;-1,2083539;-1,6000949;-1,1370361;-1,1815455
12,2;-1,385746;-1,4101813;-1,257212;-1,661292;-1,2099321;-1,2472788
12,3;-1,3856636;-1,4027016;-1,2157607;-1,6750607;-1,17914;-1,2176811
12,5;-1,3651351;-1,4021535;-1,2824873;-1,6453191;-1,2426974;-1,3236252
12,6;-1,4127007;-1,4710661;-1,2987758;-1,6370116;-1,2472194;-1,2824521
12,7;-1,3634459;-1,4395576;-1,2729266;-1,787118;-1,2754581;-1,2556115
12,8;-1,5526729;-1,5220847;-1,3411177;-1,6521157;-1,2993236;-1,3467907
13;-1,4451325;-1,4724623;-1,3076881;-1,761796;-1,2344124;-1,2804617
13,1;-1,5140984;-1,5203893;-1,3083957;-1,791732;-1,2654972;-1,3148829
13,2;-1,5165673;-1,5985159;-1,4025196;-1,7740874;-1,3190013;-1,4073682
13,3;-1,5119575;-1,5815332;-1,3657041;-1,6828333;-1,259233;-1,3697668
13,5;-1,544377;-1,6089755;-1,400968;-1,7221962;-1,3627203;-1,396206
13,6;-1,5814167;-1,6925397;-1,4408451;-1,7984796;-1,39641;-1,4100914
13,7;-1,5371817;-1,7199506;-1,3959292;-1,9219675;-1,3991828;-1,4065536
13,8;-1,6260099;-1,7477477;-1,5084798;-1,9633291;-1,436074;-1,4612453
14;-1,5952146;-1,75208;-1,4780649;-1,9790514;-1,3863173;-1,4638362
14,1;-1,6931642;-1,8658938;-1,5520692;-1,9242504;-1,4942294;-1,5296191
14,2;-1,6887152;-1,8960102;-1,5129768;-1,9793278;-1,4466206;-1,4830868
14,3;-1,6328069;-1,9177694;-1,5505306;-2,0677326;-1,4458029;-1,4856681
14,5;-1,7339331;-2,0392468;-1,5962785;-1,9782523;-1,5267997;-1,5840498
14,6;-1,6110268;-1,9549166;-1,4956815;-2,0250077;-1,4263115;-1,4982383
14,7;-1,5841932;-2,0009861;-1,5139104;-1,7721562;-1,4576744;-1,4990469
14,8;-1,725495;-2,0574555;-1,6431595;-2,0296323;-1,60615;-1,5971911
15;-1,6149545;-1,9839776;-1,4879363;-1,8998878;-1,4094576;-1,4504772
15,1;-1,6885421;-1,9839408;-1,5765337;-1,7993096;-1,5470449;-1,5455427
15,2;-1,6764201;-1,9958888;-1,5350573;-2,0111153;-1,4656535;-1,521788
15,3;-1,5704014;-1,884951;-1,4506296;-1,9784123;-1,3749568;-1,432421
15,5;-1,7575696;-1,9426464;-1,5742582;-2,0402613;-1,5389005;-1,6071548
15,6;-1,5591859;-1,86374;-1,4291804;-1,9697528;-1,3517951;-1,3905327
15,7;-1,5999792;-1,7979661;-1,4651009;-1,9090481;-1,41277;-1,4089599
15,8;-1,6554816;-1,8225119;-1,5114174;-1,9123347;-1,5046304;-1,5021181
16;-1,4694289;-1,694648;-1,3461088;-2,0969341;-1,3103404;-1,3437828
16,1;-1,6540619;-1,732357;-1,4770128;-2,048497;-1,431911;-1,4853907
16,2;-1,5087856;-1,6493491;-1,4205953;-1,883208;-1,3313886;-1,3672367
16,3;-1,4167736;-1,5624385;-1,2844959;-1,921032;-1,2008204;-1,2623631
16,5;-1,6542773;-1,7253996;-1,4716427;-1,91729;-1,4332894;-1,4998319
16,6;-1,4404432;-1,463904;-1,2480327;-1,9407859;-1,1677686;-1,1982878
16,7;-1,4683505;-1,5815316;-1,3509928;-1,8156235;-1,2790091;-1,3352858
16,8;-1,609509;-1,6552497;-1,4763486;-1,879232;-1,4002485;-1,4399012
17;-1,239311;-1,2496659;-0,98040372;-1,8362757;-0,99461442;-1,028535
17,1;-1,5542309;-1,5906732;-1,4406935;-1,9767077;-1,3862169;-1,4599086
17,2;-1,4267482;-1,4309304;-1,270798;-1,8966765;-1,2075633;-1,2551074
17,3;-1,2276443;-1,1846316;-1,0379916;-2,0015819;-0,97725612;-1,0563711
17,5;-1,7123868;-1,6111939;-1,5235382;-2,0557489;-1,4811273;-1,5666128
17,6;-1,0824184;-1,1327764;-0,9873547;-1,967559;-0,95808691;-0,98649466
17,7;-1,3664178;-1,4360142;-1,3189608;-2,1661346;-1,22676;-1,2897668
17,8;-1,5480622;-1,5384147;-1,4018754;-1,9554017;-1,3309376;-1,4395365
18;-1,1484411;-1,0792552;-0,91072768;-1,9503534;-0,87083262;-0,89897287
18,1;-1,6108221;-1,5660847;-1,5249459;-2,0115893;-1,4396784;-1,5298904
18,2;-1,3761917;-1,4146471;-1,1905128;-1,9767894;-1,1981343;-1,2212231
18,3;-1,2793958;-1,2799364;-1,1597518;-2,0391762;-1,1827235;-1,1229864
18,5;-1,6171244;-1,5366799;-1,5061984;-2,1272655;-1,4893699;-1,5447043
18,6;-1,2670335;-1,248641;-1,0796404;-1,9904797;-1,1487205;-1,1093571
18,7;-1,506439;-1,5217258;-1,3853235;-1,8483919;-1,3858869;-1,3849337
18,8;-1,7055535;-1,5561154;-1,4537873;-2,1639326;-1,4274178;-1,4445518
19;-1,3138335;-1,3081775;-1,228176;-2,2048228;-1,2447957;-1,238982
19,1;-1,6385672;-1,5531148;-1,467171;-2,1912868;-1,4936997;-1,5508707
19,2;-1,4485945;-1,4858394;-1,348689;-2,0704308;-1,3419046;-1,3447678
19,3;-1,5320204;-1,479109;-1,3825215;-1,9262254;-1,4223455;-1,4422169
19,5;-1,7183871;-1,6257695;-1,626266;-1,9665854;-1,6241764;-1,6556746
19,6;-1,5596033;-1,5018213;-1,4188354;-2,0479987;-1,3898939;-1,4520929
19,7;-1,6296437;-1,5677483;-1,5417155;-1,9209181;-1,4769591;-1,5234263
19,8;-1,7024376;-1,6794865;-1,5012851;-1,8373069;-1,5191245;-1,5943217
20;-1,6364692;-1,3897315;-1,4344944;-1,9516612;-1,4896452;-1,4880348
20,1;-1,6941601;-1,6170168;-1,5986407;-1,9566231;-1,6371379;-1,6977994
20,2;-1,593807;-1,6130657;-1,4567671;-1,9957945;-1,5410334;-1,5330822
20,3;-1,62301;-1,5520996;-1,5264879;-2,2155421;-1,5410269;-1,613335
20,5;-1,7585477;-1,6568209;-1,6021931;-2,1159756;-1,6829432;-1,7237755
20,6;-1,521488;-1,5186956;-1,5312306;-2,0494895;-1,5443635;-1,6073909
20,7;-1,7093455;-1,5931833;-1,5864121;-2,3675966;-1,637659;-1,6605821
20,8;-1,7877055;-1,7106242;-1,6495579;-2,1088483;-1,7148116;-1,7126868
21;-1,5414331;-1,4963244;-1,5015106;-2,1417615;-1,5314093;-1,6951137
21,1;-1,7484542;-1,6316615;-1,6438313;-2,2016373;-1,7268063;-1,733175
21,2;-1,7313024;-1,6717995;-1,570032;-2,2354128;-1,7163252;-1,7068971
21,3;-1,6929694;-1,5774175;-1,5881176;-2,0099597;-1,6735809;-1,7134062
21,5;-1,7118794;-1,6519426;-1,7101612;-2,348491;-1,8625557;-1,7288189
21,6;-1,699285;-1,5716596;-1,5582314;-2,3477218;-1,7409592;-1,7499942
21,7;-1,7644509;-1,6456274;-1,7199962;-2,1300042;-1,7495112;-1,8362727
21,8;-1,7249793;-1,698006;-1,6505471;-2,4239304;-1,8479707;-1,8399968
22;-1,700771;-1,5975497;-1,6842307;-2,2060428;-1,9005723;-1,8401414
22,1;-1,9146614;-1,8009611;-1,7753572;-1,931059;-2,004487;-1,9330689
22,2;-1,7812097;-1,6939318;-1,7210615;-2,3011634;-1,8523543;-1,8058516
22,3;-1,7932879;-1,6477747;-1,7189645;-2,0438724;-1,8280427;-1,8582934
22,5;-2,0034182;-1,7365984;-1,8108315;-1,9020318;-2,0118926;-1,8933324
22,6;-1,6948711;-1,5651085;-1,688239;-2,2078147;-1,842321;-1,7786735
22,7;-1,8913519;-1,7779027;-1,6973512;-1,8533827;-1,9598881;-1,8542689
22,8;-1,8889085;-1,7765087;-1,8094625;-1,9272004;-1,9167775;-1,8677765
23;-1,7993239;-1,6227368;-1,7499716;-2,2017238;-1,9186157;-1,8364224
23,1;-1,8167123;-1,7406615;-1,7774124;-1,9423088;-1,9289721;-1,8584877
23,2;-1,8632708;-1,7303125;-1,6983312;-2,0036736;-1,8467667;-1,8514141
23,3;-1,9184557;-1,7625043;-1,7698398;-2,2345662;-1,8917044;-1,89466
23,5;-1,9138917;-1,7805116;-1,8942784;-2,2714448;-1,9414257;-1,9326223
23,6;-1,8735366;-1,7129521;-1,7913413;-2,1483817;-1,8804648;-1,898999
23,7;-1,8835815;-1,7462833;-1,7679113;-2,4126043;-2,0063953;-1,8577737
23,8;-1,9864428;-1,7983228;-1,88586;-2,4029133;-1,8399117;-1,9288369
24;-1,8874744;-1,7110074;-1,8093146;-2,3133726;-1,8900228;-1,9072109
24,1;-1,9563986;-1,7742106;-1,8726187;-2,4626076;-1,9053177;-1,9433048
24,2;-1,8409077;-1,6838129;-1,7896769;-2,4032669;-1,8009938;-1,8421479
24,3;-1,9484797;-1,7646471;-1,7603951;-2,1793633;-1,7944847;-1,8182812
24,5;-1,959779;-1,7226161;-1,9540401;-2,4448314;-1,860247;-1,9226592
24,6;-1,9952984;-1,7884414;-1,8602532;-2,3549781;-1,8682786;-1,8563298
24,7;-1,9666045;-1,7587342;-1,8077273;-2,2515905;-1,8884051;-1,8434401
24,8;-1,9180317;-1,7100323;-1,8136984;-2,4486134;-1,7236587;-1,9043571
25;-2,0551186;-1,7858129;-1,836372;-2,3761065;-1,8379219;-1,8250774
