Freq;S21
0;-0,113877
0,1;-0,1113877
0,2;-0,217306
0,3;-0,14195
0,5;-0,1919957
0,6;-0,1236323
0,7;-0,1683048
0,8;-0,1773518
1;-0,152696
1,1;-0,2050754
1,2;-0,2176848
1,3;-0,2517458
1,5;-0,2347821
1,6;-0,2465971
1,7;-0,2452107
1,8;-0,2481044
2;-0,316826
2,1;-0,2854081
2,2;-0,3071223
2,3;-0,3298048
2,5;-0,3499912
2,6;-0,3842979
2,7;-0,3392616
2,8;-0,3511866
3;-0,3564371
3,1;-0,3156403
3,2;-0,3579284
3,3;-0,3914491
3,5;-0,4219159
3,6;-0,4072155
3,7;-0,4097649
3,8;-0,4416138
4;-0,4563364
4,1;-0,4143942
4,2;-0,4497787
4,3;-0,4752971
4,5;-0,4864374
4,6;-0,5077406
4,7;-0,4916676
4,8;-0,5585724
5;-0,5554584
5,1;-0,4958066
5,2;-0,5612775
5,3;-0,573671
5,5;-0,5527416
5,6;-0,5176114
5,7;-0,5852526
5,8;-0,5787362
6;-0,5267359
6,1;-0,5443333
6,2;-0,5418402
6,3;-0,5456308
6,5;-0,5577627
6,6;-0,5544983
6,7;-0,5846861
6,8;-0,7260676
7;-0,6543408
7,1;-0,5890294
7,2;-0,6746408
7,3;-0,6266104
7,5;-0,6171595
7,6;-0,6984831
7,7;-0,6651307
7,8;-0,6635562
8;-0,6372381
8,1;-0,7271906
8,2;-0,7481838
8,3;-0,6927472
8,5;-0,5256542
8,6;-0,6049577
8,7;-0,6912228
8,8;-0,6242624
9;-0,6513177
9,1;-0,7845274
9,2;-0,8274127
9,3;-0,7652398
9,5;-0,6848937
9,6;-0,6399742
9,7;-0,7063337
9,8;-0,7317158
10;-0,723138
10,1;-0,733666
10,2;-0,712195
10,3;-0,7037078
10,5;-0,8014093
10,6;-0,7874275
10,7;-0,7306148
10,8;-0,7751165
11;-0,7654348
11,1;-0,7468205
11,2;-0,7942167
11,3;-0,8326889
11,5;-0,8059846
11,6;-0,8417574
11,7;-0,7849074
11,8;-0,8314901
12;-0,8031498
12,1;-0,8361465
12,2;-1,0656491
12,3;-0,9202524
12,5;-0,8857976
12,6;-0,7900887
12,7;-0,8677803
12,8;-0,8210689
13;-0,7871514
13,1;-0,8910566
13,2;-0,9490438
13,3;-0,8704711
13,5;-0,8755084
13,6;-0,8043786
13,7;-0,8689247
13,8;-0,8811847
14;-0,9203764
14,1;-0,8404118
14,2;-0,871565
14,3;-0,9853092
14,5;-1,0784122
14,6;-1,0087591
14,7;-1,0253407
14,8;-0,9431621
15;-1,0919534
15,1;-0,9886156
15,2;-0,8182946
15,3;-0,9805418
15,5;-0,9580794
15,6;-0,8819734
15,7;-0,9565044
15,8;-0,9214493
16;-1,0396029
16,1;-0,9321381
16,2;-1,1441122
16,3;-1,0496512
16,5;-1,2757965
16,6;-1,2592383
16,7;-1,0728861
16,8;-0,9079681
17;-1,1969377
17,1;-1,2267147
17,2;-1,2576881
17,3;-1,1706363
17,5;-1,3152833
17,6;-1,2442685
17,7;-1,1079412
17,8;-1,1123330
18;-0,9391909
18,1;-1,0430958
18,2;-0,9604502
18,3;-1,0559422
18,5;-1,2400356
18,6;-1,2995745
18,7;-1,1730958
18,8;-1,1586395
19;-1,228933
19,1;-1,061483
19,2;-1,2317325
19,3;-1,3455745
19,5;-1,143232
19,6;-1,2157341
19,7;-1,3949505
19,8;-1,2758852
20;-1,0224463
20,1;-1,2032619
20,2;-1,1598989
20,3;-1,3652802
20,5;-1,2223178
20,6;-1,3605143
20,7;-1,6724635
20,8;-2,113885
21;-1,4800721
21,1;-1,411347
21,2;-1,740635
21,3;-1,7437593
21,5;-1,2455598
21,6;-1,6283546
21,7;-1,7826081
21,8;-2,3640858
22;-1,7377025
22,1;-1,4395977
22,2;-1,5060888
22,3;-1,8385583
22,5;-1,1926881
22,6;-1,4714752
22,7;-1,8952857
22,8;-1,4016915
23;-1,8540107
23,1;-2,3705369
23,2;-2,1510874
23,3;-2,5266729
23,5;-2,7528649
23,6;-1,7821318
23,7;-1,6642848
23,8;-1,9181009
24;-2,0274945
24,1;-1,1367427
24,2;-1,2010633
24,3;-1,9734846
24,5;-1,8850862
24,6;-1,3908373
24,7;-2,0340839
24,8;-1,7929612
25;-2,0331288
